   Elapsed time	    ECG	    EMG	oot GSR	and GSR	     HR	 marker	   RESP
          2.839	 -0.164	  0.124	  5.351	  9.431	 69.000	 10.170	 35.850
          2.903	 -0.155	  0.104	  5.367	  9.583	 69.000	 10.170	 35.780
          2.968	 -0.169	  0.124	  5.391	  9.742	 69.000	 10.170	 35.660
          3.032	 -0.172	  0.145	  5.416	  9.914	 69.000	 10.170	 35.590
          3.097	 -0.138	  0.145	  5.445	 10.080	 69.000	 10.170	 35.550
          3.161	 -0.205	  0.124	  5.481	 10.234	 69.000	 10.170	 35.530
          3.226	  0.230	  0.518	  5.521	 10.388	 69.000	 10.170	 35.520
          3.290	 -0.181	  0.124	  5.562	 10.544	 69.000	 10.170	 35.490
          3.355	 -0.144	  0.124	  5.608	 10.687	 69.000	 10.160	 35.490
          3.419	 -0.017	  0.104	  5.654	 10.807	 77.000	 10.170	 35.490
          3.484	  0.029	  0.104	  5.704	 10.919	 77.000	 10.170	 35.490
          3.548	 -0.164	  0.124	  5.755	 11.014	 77.000	 10.170	 35.490
          3.613	 -0.173	  0.145	  5.808	 11.083	 77.000	 10.170	 35.490
          3.677	 -0.167	  0.104	  5.856	 11.140	 77.000	 10.170	 35.470
          3.742	 -0.181	  0.145	  5.906	 11.195	 77.000	 10.170	 35.430
          3.806	 -0.188	  0.166	  5.953	 11.240	 77.000	 10.170	 35.400
          3.871	 -0.188	  0.124	  6.002	 11.270	 77.000	 10.170	 35.370
          3.935	 -0.157	  0.104	  6.043	 11.276	 77.000	 10.160	 35.360
          4.000	 -0.170	  0.104	  6.083	 11.267	 77.000	 10.160	 35.360
          4.065	  0.045	  0.394	  6.121	 11.246	 77.000	 10.170	 35.360
          4.129	  0.005	  0.373	  6.156	 11.212	 77.000	 10.160	 35.360
          4.194	 -0.158	  0.083	  6.187	 11.170	 77.000	 10.170	 35.360
          4.258	 -0.087	  0.083	  6.214	 11.115	 68.000	 10.160	 35.360
          4.323	  0.079	  0.083	  6.241	 11.056	 68.000	 10.160	 35.360
          4.387	 -0.036	  0.145	  6.262	 10.991	 68.000	 10.160	 35.360
          4.452	 -0.146	  0.166	  6.280	 10.924	 68.000	 10.160	 35.360
          4.516	 -0.143	  0.124	  6.296	 10.861	 68.000	 10.160	 35.360
          4.581	 -0.157	  0.104	  6.308	 10.789	 68.000	 10.170	 35.360
          4.645	 -0.189	  0.145	  6.315	 10.716	 68.000	 10.160	 35.330
          4.710	 -0.217	  0.124	  6.320	 10.644	 68.000	 10.160	 35.310
          4.774	 -0.249	  0.124	  6.324	 10.575	 68.000	 10.160	 35.310
          4.839	 -0.289	  0.124	  6.323	 10.509	 68.000	 10.160	 35.310
          4.903	 -0.316	  0.124	  6.318	 10.451	 68.000	 10.160	 35.310
          4.968	 -0.367	  0.124	  6.309	 10.390	 68.000	 10.160	 35.310
          5.032	 -0.320	  0.394	  6.295	 10.332	 68.000	 10.160	 35.310
          5.097	 -0.232	  0.311	  6.284	 10.281	 68.000	 10.160	 35.310
          5.161	 -0.558	  0.145	  6.273	 10.234	 68.000	 10.160	 35.310
          5.226	 -0.556	  0.207	  6.261	 10.196	 68.000	 10.160	 35.310
          5.290	 -0.449	  0.145	  6.242	 10.162	 62.000	 10.160	 35.300
          5.355	 -0.583	  0.746	  6.221	 10.140	 62.000	 10.160	 35.300
          5.419	 -0.769	  2.155	  6.201	 10.129	 62.000	 10.160	 35.310
          5.484	 -0.856	  2.051	  6.180	 10.110	 62.000	 10.160	 35.300
          5.548	 -0.910	  0.518	  6.159	 10.104	 62.000	 10.160	 35.300
          5.613	 -0.966	  3.771	  6.136	 10.103	 62.000	 10.160	 35.260
          5.677	 -1.003	  0.787	  6.113	 10.053	 62.000	 10.160	 35.210
          5.742	 -1.032	  0.974	  6.092	  9.968	 62.000	 10.160	 35.260
          5.806	 -1.028	  1.367	  6.072	  9.889	 62.000	 10.160	 35.690
          5.871	 -1.082	  1.202	  6.057	  9.827	 62.000	 10.160	 36.080
          5.935	 -0.751	  2.507	  6.039	  9.768	 62.000	 10.160	 36.380
          6.000	 -1.118	  1.388	  6.023	  9.723	 62.000	 10.160	 36.650
          6.065	 -1.134	  1.057	  6.007	  9.680	 62.000	 10.160	 36.850
          6.129	 -1.067	  1.823	  5.995	  9.623	 67.000	 10.160	 37.120
          6.194	 -0.910	  0.891	  5.981	  9.558	 67.000	 10.160	 37.310
          6.258	 -1.088	  1.015	  5.967	  9.492	 67.000	 10.160	 37.450
          6.323	 -1.195	  0.787	  5.952	  9.434	 67.000	 10.160	 37.640
          6.387	 -1.174	  1.243	  5.937	  9.380	 67.000	 10.170	 37.770
          6.452	 -1.178	  1.243	  5.922	  9.332	 67.000	 10.160	 37.800
          6.516	 -1.173	  1.761	  5.908	  9.301	 67.000	 10.160	 37.830
          6.581	 -1.143	  0.932	  5.890	  9.298	 67.000	 10.170	 37.870
          6.645	 -1.197	  1.512	  5.875	  9.320	 67.000	 10.190	 37.900
          6.710	 -0.758	  0.622	  5.860	  9.323	 67.000	 10.210	 37.900
          6.774	 -1.128	  0.704	  5.845	  9.310	 67.000	 10.180	 37.840
          6.839	 -1.052	  1.098	  5.830	  9.280	 67.000	 10.160	 37.730
          6.903	 -0.882	  0.932	  5.816	  9.227	 80.000	 10.130	 37.660
          6.968	 -0.824	  0.787	  5.799	  9.135	 80.000	 10.130	 37.570
          7.032	 -0.995	  0.849	  5.787	  9.029	 80.000	 10.130	 37.460
          7.097	 -0.972	  0.849	  5.776	  8.951	 80.000	 10.130	 37.350
          7.161	 -0.921	  1.222	  5.762	  8.944	 80.000	 10.130	 37.200
          7.226	 -0.901	  1.222	  5.749	  9.009	 80.000	 10.130	 37.000
          7.290	 -0.873	  1.243	  5.736	  9.087	 80.000	 10.130	 36.910
          7.355	 -0.827	  0.497	  5.721	  9.098	 80.000	 10.150	 36.870
          7.419	 -0.769	  0.932	  5.709	  9.116	 80.000	 10.150	 36.880
          7.484	 -0.694	  1.305	  5.696	  9.112	 80.000	 10.150	 36.930
          7.548	 -0.627	  0.518	  5.681	  9.103	 80.000	 10.150	 36.980
          7.613	 -0.499	  0.808	  5.670	  9.097	 80.000	 10.150	 37.030
          7.677	 -0.184	  0.849	  5.659	  9.073	 80.000	 10.160	 37.040
          7.742	 -0.485	  0.684	  5.648	  9.046	 80.000	 10.160	 37.040
          7.806	 -0.387	  0.414	  5.635	  9.014	 80.000	 10.160	 37.000
          7.871	 -0.192	  0.870	  5.623	  8.987	 63.000	 10.160	 36.860
          7.935	 -0.229	  0.186	  5.612	  8.980	 63.000	 10.160	 36.790
          8.000	 -0.370	  0.704	  5.599	  8.976	 63.000	 10.160	 36.770
          8.065	 -0.361	  0.373	  5.588	  8.966	 63.000	 10.160	 36.750
          8.129	 -0.342	  0.145	  5.575	  8.955	 63.000	 10.150	 36.680
          8.194	 -0.339	  0.539	  5.566	  8.941	 63.000	 10.150	 36.590
          8.258	 -0.327	  0.269	  5.555	  8.928	 63.000	 10.160	 36.530
          8.323	 -0.314	  0.435	  5.542	  8.913	 63.000	 10.160	 36.460
          8.387	 -0.302	  0.228	  5.531	  8.898	 63.000	 10.160	 36.370
          8.452	 -0.259	  0.290	  5.521	  8.883	 63.000	 10.160	 36.320
          8.516	 -0.265	  0.249	  5.510	  8.868	 63.000	 10.160	 36.280
          8.581	  0.027	  0.373	  5.498	  8.852	 63.000	 10.150	 36.250
          8.645	 -0.164	  0.456	  5.488	  8.838	 63.000	 10.150	 36.210
          8.710	 -0.262	  0.186	  5.479	  8.824	 63.000	 10.150	 36.180
          8.774	 -0.192	  0.290	  5.470	  8.808	 63.000	 10.150	 36.140
          8.839	 -0.019	  0.207	  5.461	  8.791	 63.000	 10.150	 36.120
          8.903	 -0.143	  0.373	  5.451	  8.776	 63.000	 10.150	 36.140
          8.968	 -0.261	  0.145	  5.445	  8.764	 63.000	 10.150	 36.180
          9.032	 -0.243	  0.435	  5.436	  8.749	 63.000	 10.150	 36.260
          9.097	 -0.224	  0.269	  5.428	  8.734	 63.000	 10.150	 36.350
          9.161	 -0.217	  0.186	  5.418	  8.720	 63.000	 10.150	 36.480
          9.226	 -0.171	  0.207	  5.409	  8.707	 63.000	 10.150	 36.620
          9.290	 -0.191	  0.207	  5.399	  8.694	 63.000	 10.150	 36.770
          9.355	  0.185	  0.477	  5.391	  8.679	 63.000	 10.150	 36.930
          9.419	 -0.153	  0.228	  5.383	  8.667	 63.000	 10.150	 37.040
          9.484	 -0.118	  0.166	  5.377	  8.653	 63.000	 10.150	 37.140
          9.548	 -0.016	  0.249	  5.369	  8.641	 63.000	 10.150	 37.260
          9.613	  0.156	  0.331	  5.362	  8.627	 63.000	 10.150	 37.350
          9.677	 -0.019	  0.207	  5.354	  8.612	 63.000	 10.150	 37.410
          9.742	 -0.088	  0.124	  5.346	  8.600	 63.000	 10.150	 37.440
          9.806	 -0.058	  0.207	  5.338	  8.586	 63.000	 10.150	 37.470
          9.871	 -0.050	  0.145	  5.332	  8.572	 63.000	 10.150	 37.490
          9.935	 -0.004	  0.124	  5.324	  8.559	 63.000	 10.150	 37.480
         10.000	 -0.042	  0.104	  5.317	  8.546	 63.000	 10.150	 37.470
         10.065	  0.373	  0.394	  5.307	  8.534	 63.000	 10.150	 37.450
         10.129	 -0.025	  0.104	  5.300	  8.521	 63.000	 10.150	 37.420
         10.194	  0.029	  0.145	  5.292	  8.510	 63.000	 10.150	 37.390
         10.258	  0.140	  0.145	  5.284	  8.499	 63.000	 10.130	 37.340
         10.323	  0.295	  0.104	  5.275	  8.486	 63.000	 10.130	 37.310
         10.387	  0.088	  0.104	  5.266	  8.474	 63.000	 10.130	 37.280
         10.452	  0.055	  0.104	  5.257	  8.462	 63.000	 10.150	 37.250
         10.516	  0.086	  0.104	  5.251	  8.451	 63.000	 10.130	 37.200
         10.581	  0.098	  0.124	  5.244	  8.438	 63.000	 10.150	 37.110
         10.645	  0.112	  0.145	  5.237	  8.426	 63.000	 10.130	 37.030
         10.710	  0.173	  0.186	  5.231	  8.414	 63.000	 10.130	 36.970
         10.774	  0.150	  0.145	  5.228	  8.403	 63.000	 10.130	 36.900
         10.839	  0.602	  0.414	  5.226	  8.392	 63.000	 10.150	 36.850
         10.903	  0.247	  0.207	  5.234	  8.380	 63.000	 10.150	 36.780
         10.968	  0.283	  0.124	  5.241	  8.370	 63.000	 10.130	 36.690
         11.032	  0.378	  0.124	  5.243	  8.359	 63.000	 10.130	 36.580
         11.097	  0.536	  0.104	  5.239	  8.346	 63.000	 10.150	 36.460
         11.161	  0.343	  0.124	  5.240	  8.335	 63.000	 10.130	 36.350
         11.226	  0.304	  0.145	  5.259	  8.314	 63.000	 10.130	 36.160
         11.290	  0.322	  0.104	  5.261	  8.312	 63.000	 10.150	 36.150
         11.355	  0.319	  0.124	  5.269	  8.303	 63.000	 10.150	 36.020
         11.419	  0.309	  0.083	  5.274	  8.292	 63.000	 10.150	 35.950
         11.484	  0.310	  0.124	  5.279	  8.280	 63.000	 10.150	 35.890
         11.548	  0.314	  0.186	  5.275	  8.270	 63.000	 10.150	 35.860
         11.613	  0.315	  0.104	  5.275	  8.260	 63.000	 10.150	 35.840
         11.677	  0.316	  0.145	  5.279	  8.250	 63.000	 10.150	 35.840
         11.742	  0.314	  0.083	  5.289	  8.240	 63.000	 10.150	 35.830
         11.806	  0.357	  0.166	  5.295	  8.232	 63.000	 10.150	 35.830
         11.871	  0.321	  0.104	  5.300	  8.223	 63.000	 10.150	 35.820
         11.935	  0.748	  0.497	  5.299	  8.213	 63.000	 10.150	 35.820
         12.000	  0.332	  0.145	  5.294	  8.203	 63.000	 10.150	 35.820
         12.065	  0.356	  0.104	  5.286	  8.193	 63.000	 10.150	 35.820
         12.129	  0.446	  0.145	  5.280	  8.183	 63.000	 10.150	 35.820
         12.194	  0.599	  0.145	  5.274	  8.173	 63.000	 10.150	 35.820
         12.258	  0.411	  0.145	  5.271	  8.162	 63.000	 10.150	 35.820
         12.323	  0.350	  0.145	  5.268	  8.151	 63.000	 10.150	 35.820
         12.387	  0.357	  0.104	  5.266	  8.141	 63.000	 10.150	 35.810
         12.452	  0.347	  0.124	  5.265	  8.132	 63.000	 10.150	 35.820
         12.516	  0.332	  0.145	  5.265	  8.124	 63.000	 10.150	 35.790
         12.581	  0.323	  0.124	  5.261	  8.114	 63.000	 10.150	 35.780
         12.645	  0.319	  0.124	  5.256	  8.105	 63.000	 10.150	 35.770
         12.710	  0.322	  0.104	  5.253	  8.096	 63.000	 10.150	 35.760
         12.774	  0.351	  0.124	  5.261	  8.086	 63.000	 10.150	 35.760
         12.839	  0.366	  0.124	  5.271	  8.078	 63.000	 10.150	 35.760
         12.903	  0.339	  0.124	  5.276	  8.069	 63.000	 10.150	 35.760
         12.968	  0.539	  0.331	  5.278	  8.059	 63.000	 10.130	 35.750
         13.032	  0.504	  0.352	  5.273	  8.051	 63.000	 10.150	 35.750
         13.097	  0.321	  0.104	  5.270	  8.035	 63.000	 10.150	 35.750
         13.161	  0.381	  0.124	  5.270	  8.035	 63.000	 10.130	 35.750
         13.226	  0.533	  0.145	  5.270	  8.028	 63.000	 10.130	 35.750
         13.290	  0.439	  0.124	  5.268	  8.021	 63.000	 10.130	 35.750
         13.355	  0.273	  0.104	  5.265	  8.013	 63.000	 10.130	 35.750
         13.419	  0.254	  0.166	  5.257	  8.007	 63.000	 10.150	 35.730
         13.484	  0.222	  0.145	  5.249	  8.001	 63.000	 10.130	 35.750
         13.548	  0.184	  0.145	  5.244	  7.993	 63.000	 10.130	 35.720
         13.613	  0.159	  0.145	  5.236	  7.988	 63.000	 10.150	 35.690
         13.677	  0.149	  0.166	  5.235	  7.982	 63.000	 10.130	 35.700
         13.742	  0.131	  0.145	  5.234	  7.976	 63.000	 10.130	 35.770
         13.806	  0.142	  0.145	  5.226	  7.971	 63.000	 10.130	 35.880
         13.871	  0.150	  0.166	  5.221	  7.963	 63.000	 10.130	 36.000
         13.935	  0.183	  0.290	  5.214	  7.958	 63.000	 10.130	 36.110
         14.000	  0.424	  0.373	  5.214	  7.951	 63.000	 10.150	 36.270
         14.065	  0.126	  0.124	  5.221	  7.944	 63.000	 10.130	 36.420
         14.129	  0.179	  0.104	  5.220	  7.937	 63.000	 10.130	 36.560
         14.194	  0.342	  0.166	  5.208	  7.929	 63.000	 10.130	 36.680
         14.258	  0.309	  0.124	  5.200	  7.921	 63.000	 10.130	 36.800
         14.323	  0.129	  0.145	  5.190	  7.914	 63.000	 10.130	 36.910
         14.387	  0.126	  0.166	  5.184	  7.906	 63.000	 10.130	 37.010
         14.452	  0.127	  0.124	  5.181	  7.900	 63.000	 10.130	 37.080
         14.516	  0.114	  0.124	  5.173	  7.891	 63.000	 10.130	 37.120
         14.581	  0.136	  0.145	  5.160	  7.884	 63.000	 10.130	 37.130
         14.645	  0.130	  0.166	  5.152	  7.876	 63.000	 10.130	 37.140
         14.710	  0.240	  0.311	  5.149	  7.870	 63.000	 10.130	 37.150
         14.774	  0.371	  0.290	  5.146	  7.863	 63.000	 10.130	 37.140
         14.839	  0.139	  0.124	  5.142	  7.854	 63.000	 10.130	 37.110
         14.903	  0.205	  0.145	  5.139	  7.845	 63.000	 10.130	 37.070
         14.968	  0.385	  0.145	  5.136	  7.838	 63.000	 10.130	 37.040
         15.032	  0.305	  0.145	  5.132	  7.828	 63.000	 10.130	 36.990
         15.097	  0.165	  0.104	  5.127	  7.820	 63.000	 10.130	 36.940
         15.161	  0.182	  0.145	  5.122	  7.810	 63.000	 10.130	 36.850
         15.226	  0.204	  0.124	  5.116	  7.800	 63.000	 10.130	 36.730
         15.290	  0.205	  0.145	  5.108	  7.793	 63.000	 10.130	 36.600
         15.355	  0.224	  0.145	  5.102	  7.783	 63.000	 10.130	 36.480
         15.419	  0.278	  0.145	  5.097	  7.776	 63.000	 10.130	 36.370
         15.484	  0.232	  0.207	  5.092	  7.768	 63.000	 10.130	 36.300
         15.548	  0.663	  0.559	  5.087	  7.760	 63.000	 10.130	 36.210
         15.613	  0.247	  0.186	  5.082	  7.751	 63.000	 10.130	 36.120
         15.677	  0.280	  0.124	  5.077	  7.742	 63.000	 10.130	 36.050
         15.742	  0.386	  0.124	  5.072	  7.735	 63.000	 10.130	 36.020
         15.806	  0.508	  0.104	  5.067	  7.726	 63.000	 10.130	 36.000
         15.871	  0.291	  0.145	  5.061	  7.718	 63.000	 10.130	 35.980
         15.935	  0.253	  0.124	  5.057	  7.710	 63.000	 10.130	 35.960
         16.000	  0.257	  0.166	  5.052	  7.702	 63.000	 10.130	 35.930
         16.065	  0.247	  0.124	  5.047	  7.696	 63.000	 10.130	 35.880
         16.129	  0.232	  0.083	  5.041	  7.690	 63.000	 10.130	 35.830
         16.194	  0.226	  0.104	  5.035	  7.683	 63.000	 10.130	 35.820
         16.258	  0.230	  0.104	  5.030	  7.676	 63.000	 10.130	 35.810
         16.323	  0.225	  0.124	  5.025	  7.670	 63.000	 10.130	 35.800
         16.387	  0.240	  0.104	  5.020	  7.663	 63.000	 10.130	 35.800
         16.452	  0.251	  0.124	  5.015	  7.655	 63.000	 10.130	 35.800
         16.516	  0.291	  0.311	  5.010	  7.649	 63.000	 10.130	 35.790
         16.581	  0.566	  0.394	  5.008	  7.643	 63.000	 10.130	 35.780
         16.645	  0.223	  0.083	  5.000	  7.638	 63.000	 10.130	 35.780
         16.710	  0.276	  0.145	  4.995	  7.630	 63.000	 10.130	 35.780
         16.774	  0.426	  0.124	  4.990	  7.624	 63.000	 10.130	 35.780
         16.839	  0.403	  0.104	  4.984	  7.618	 63.000	 10.130	 35.780
         16.903	  0.224	  0.124	  4.978	  7.613	 63.000	 10.120	 35.780
         16.968	  0.221	  0.145	  4.973	  7.605	 63.000	 10.120	 35.770
         17.032	  0.219	  0.124	  4.968	  7.600	 63.000	 10.120	 35.790
         17.097	  0.199	  0.083	  4.961	  7.594	 63.000	 10.120	 35.790
         17.161	  0.192	  0.124	  4.954	  7.577	 63.000	 10.120	 35.780
         17.226	  0.188	  0.104	  4.948	  7.547	 63.000	 10.120	 35.770
         17.290	  0.184	  0.104	  4.943	  7.531	 63.000	 10.120	 35.760
         17.355	  0.184	  0.104	  4.938	  7.523	 63.000	 10.120	 35.760
         17.419	  0.183	  0.166	  4.931	  7.521	 63.000	 10.120	 35.760
         17.484	  0.223	  0.124	  4.924	  7.514	 63.000	 10.120	 35.760
         17.548	  0.181	  0.124	  4.918	  7.507	 63.000	 10.120	 35.760
         17.613	  0.592	  0.497	  4.913	  7.501	 63.000	 10.120	 35.760
         17.677	  0.164	  0.145	  4.907	  7.496	 63.000	 10.120	 35.760
         17.742	  0.180	  0.145	  4.901	  7.489	 63.000	 10.120	 35.760
         17.806	  0.247	  0.166	  4.896	  7.484	 63.000	 10.120	 35.760
         17.871	  0.400	  0.124	  4.891	  7.476	 63.000	 10.120	 35.750
         17.935	  0.153	  0.104	  4.886	  7.470	 63.000	 10.120	 35.750
         18.000	  0.100	  0.104	  4.881	  7.464	 63.000	 10.120	 35.750
         18.065	  0.100	  0.124	  4.878	  7.459	 63.000	 10.120	 35.750
         18.129	  0.084	  0.124	  4.872	  7.452	 63.000	 10.120	 35.760
         18.194	  0.062	  0.145	  4.862	  7.446	 63.000	 10.120	 35.790
         18.258	  0.059	  0.166	  4.851	  7.435	 63.000	 10.120	 35.960
         18.323	  0.101	  0.166	  4.850	  7.435	 63.000	 10.110	 35.980
         18.387	  0.042	  0.166	  4.846	  7.429	 63.000	 10.120	 36.080
         18.452	  0.430	  0.456	  4.841	  7.424	 63.000	 10.110	 36.180
         18.516	  0.051	  0.166	  4.836	  7.417	 63.000	 10.120	 36.290
         18.581	  0.091	  0.166	  4.833	  7.410	 63.000	 10.120	 36.380
         18.645	  0.203	  0.124	  4.830	  7.404	 72.000	 10.120	 36.480
         18.710	  0.323	  0.166	  4.826	  7.397	 72.000	 10.120	 36.560
         18.774	  0.094	  0.124	  4.821	  7.390	 72.000	 10.110	 36.620
         18.839	  0.054	  0.145	  4.816	  7.384	 72.000	 10.120	 36.660
         18.903	  0.065	  0.166	  4.814	  7.377	 72.000	 10.120	 36.700
         18.968	  0.060	  0.104	  4.809	  7.372	 72.000	 10.120	 36.740
         19.032	  0.064	  0.124	  4.804	  7.364	 72.000	 10.120	 36.740
         19.097	  0.104	  0.145	  4.800	  7.358	 72.000	 10.120	 36.710
         19.161	  0.048	  0.145	  4.794	  7.352	 72.000	 10.120	 36.690
         19.226	  0.478	  0.539	  4.791	  7.344	 72.000	 10.120	 36.650
         19.290	  0.097	  0.166	  4.786	  7.339	 72.000	 10.120	 36.600
         19.355	  0.146	  0.124	  4.783	  7.333	 72.000	 10.120	 36.510
         19.419	  0.275	  0.145	  4.779	  7.327	 77.000	 10.130	 36.400
         19.484	  0.378	  0.104	  4.774	  7.320	 77.000	 10.130	 36.290
         19.548	  0.163	  0.104	  4.769	  7.315	 77.000	 10.130	 36.200
         19.613	  0.137	  0.124	  4.767	  7.308	 77.000	 10.130	 36.120
         19.677	  0.147	  0.145	  4.762	  7.302	 77.000	 10.130	 36.020
         19.742	  0.132	  0.186	  4.758	  7.296	 77.000	 10.120	 35.900
         19.806	  0.119	  0.124	  4.754	  7.290	 77.000	 10.130	 35.830
         19.871	  0.109	  0.124	  4.751	  7.285	 77.000	 10.130	 35.800
         19.935	  0.104	  0.124	  4.747	  7.280	 77.000	 10.130	 35.780
         20.000	  0.104	  0.145	  4.742	  7.275	 77.000	 10.130	 35.780
         20.065	  0.100	  0.124	  4.737	  7.270	 77.000	 10.130	 35.770
         20.129	  0.117	  0.124	  4.734	  7.262	 77.000	 10.130	 35.760
         20.194	  0.131	  0.104	  4.727	  7.257	 77.000	 10.120	 35.770
         20.258	  0.091	  0.186	  4.719	  7.252	 77.000	 10.120	 35.770
         20.323	  0.504	  0.518	  4.714	  7.247	 77.000	 10.120	 35.760
         20.387	  0.084	  0.124	  4.709	  7.240	 77.000	 10.120	 35.760
         20.452	  0.125	  0.124	  4.704	  7.235	 77.000	 10.120	 35.770
         20.516	  0.266	  0.145	  4.699	  7.228	 55.000	 10.130	 35.770
         20.581	  0.293	  0.145	  4.697	  7.223	 55.000	 10.130	 35.780
         20.645	  0.087	  0.124	  4.694	  7.216	 55.000	 10.150	 35.770
         20.710	  0.075	  0.083	  4.689	  7.210	 55.000	 10.130	 35.760
         20.774	  0.071	  0.145	  4.685	  7.205	 55.000	 10.130	 35.770
         20.839	  0.044	  0.124	  4.681	  7.198	 55.000	 10.130	 35.730
         20.903	  0.020	  0.124	  4.680	  7.193	 55.000	 10.130	 35.700
         20.968	  0.002	  0.207	  4.676	  7.190	 55.000	 10.130	 35.690
         21.032	 -0.014	  0.124	  4.672	  7.198	 55.000	 10.130	 35.690
         21.097	 -0.012	  0.166	  4.670	  7.210	 55.000	 10.130	 35.660
         21.161	 -0.003	  0.124	  4.665	  7.218	 55.000	 10.130	 35.650
         21.226	 -0.069	  0.166	  4.662	  7.219	 55.000	 10.120	 35.650
         21.290	  0.345	  0.414	  4.660	  7.218	 55.000	 10.120	 35.700
         21.355	  0.124	  0.145	 17.997	 17.997	 70.000	 15.810	 50.000
         21.419	 -0.028	  0.166	 18.030	 18.024	 70.000	 10.170	 50.040
         21.484	 -0.042	  0.166	 17.979	 17.980	 70.000	 10.120	 49.980
         21.548	 -0.029	  0.166	 17.884	 17.910	 70.000	 10.100	 49.880
         21.613	 -0.033	  0.145	 17.912	 17.968	 70.000	 10.130	 49.910
         21.677	 -0.002	  0.145	  5.434	  7.884	 70.000	 10.130	 37.390
         21.742	 -0.059	  0.166	  4.795	  7.300	 70.000	 10.110	 36.850
         21.806	  0.323	  0.394	  4.620	  7.153	 70.000	 10.120	 36.760
         21.871	 -0.048	  0.186	  4.581	  7.122	 70.000	 10.130	 36.800
         21.935	 -0.003	  0.124	  4.615	  7.146	 70.000	 10.120	 36.860
         22.000	  0.111	  0.124	  4.607	  7.141	 70.000	 10.120	 36.880
